"","mu_per_read","mu_per_position","q01_per_position","q25_per_position","q50_per_position","q75_per_position","q99_per_position"
"260",40.33,40.2503594823454,22,41,41,41,41
"261",40.7,40.1616472279917,22,41,41,41,41
"262",40.7,40.228714057508,22,41,41,41,41
"263",40.66,40.2129392971246,22,41,41,41,41
"264",40.66,40.1027555910543,22,41,41,41,41
"265",40.7,40.1744408945687,22,41,41,41,41
"266",39.4,40.168637162486,22,41,41,41,41
"267",40.66,40.1689696485623,22,41,41,41,41
"268",40.58,40.0806709265176,22,41,41,41,41
"269",40.22,40.0498402555911,12,41,41,41,41
"270",40.61,40.0643370607029,12,41,41,41,41
"271",40.23,40.0801246205464,22,41,41,41,41
"272",30.87,40.0311151941205,12,41,41,41,41
"273",40.57,40.0629892954146,22,41,41,41,41
"274",39.58,40.0546325878594,12,41,41,41,41
"275",40.66,40.0275159744409,12,41,41,41,41
"276",40.7,40.0052715654952,12,41,41,41,41
"277",40.44,39.3208067092652,12,41,41,41,41
"278",40.62,39.8513178913738,12,41,41,41,41
"279",40.17,39.9208865814696,12,41,41,41,41
"280",40.7,40.0241214057508,22,41,41,41,41
"281",40.7,40.114696485623,22,41,41,41,41
"282",37.99,40.0979233226837,22,41,41,41,41
"283",40.66,40.0525159744409,12,41,41,41,41
"284",35.27,40.1003756093663,22,41,41,41,41
"285",34.15,40.0922855658983,22,41,41,41,41
"286",40.65,39.9949680511182,12,41,41,41,41
"287",40.7,40.0060702875399,12,41,41,41,41
"288",40.58,40.0517172523962,12,41,41,41,41
"289",40.66,40.0552115376933,12,41,41,41,41
"290",40.54,40.0423722044728,12,41,41,41,41
"291",40.12,39.9457268370607,12,41,41,41,41
"292",39.09,39.9199952069021,12,41,41,41,41
"293",40.66,39.969923310433,12,41,41,41,41
"294",40.53,40.0791260584758,22,41,41,41,41
"295",40.66,40.0043130990415,12,41,41,41,41
"296",40.03,39.8676182479709,12,41,41,41,41
"297",39.38,39.879892954146,12,41,41,41,41
"298",39.68,39.9133785942492,12,41,41,41,41
"299",31.72,39.8943290734824,12,41,41,41,41
"300",40.7,39.8873621984343,12,41,41,41,41
"301",35.58,31.3766129998801,2,32,32,32,32
"302",35.52,31.6526706883465,12,32,32,32,32
"303",40.7,35.9281834158811,27,37,37,37,37
"304",40.49,36.3919156414763,22,37,37,37,37
"305",39.15,36.588432656974,27,37,37,37,37
"306",39.36,40.1668130990415,27,41,41,41,41
"307",40.24,40.4563099041534,32,41,41,41,41
"308",40.58,40.4400559105431,32,41,41,41,41
"309",40.42,40.3722843450479,27,41,41,41,41
"310",40.7,40.5069089456869,32,41,41,41,41
"311",40.57,40.4901357827476,32,41,41,41,41
"312",40.7,40.4950479233227,32,41,41,41,41
"313",40.58,40.4992811501597,32,41,41,41,41
"314",40.41,40.4860223642173,27,41,41,41,41
"315",40.41,40.4281549520767,27,41,41,41,41
"316",39.12,40.395607028754,27,41,41,41,41
"317",40.57,40.4631389776358,27,41,41,41,41
"318",40.13,40.4635383386581,27,41,41,41,41
"319",40.66,40.4644968051118,27,41,41,41,41
"320",40.34,40.4481230031949,27,41,41,41,41
"321",39.96,40.4468450479233,27,41,41,41,41
"322",40.62,40.3859424920128,27,41,41,41,41
"323",39.93,40.368250798722,27,41,41,41,41
"324",40.02,40.3275559105431,27,41,41,41,41
"325",40.26,40.3605431309904,27,41,41,41,41
"326",39.43,40.4117012779553,27,41,41,41,41
"327",40.66,40.3906948881789,27,41,41,41,41
"328",36.3,40.3204073482428,22,41,41,41,41
"329",40.46,40.3420926517572,22,41,41,41,41
"330",40.66,40.3099440894569,22,41,41,41,41
"331",40.21,40.2799920127796,22,41,41,41,41
"332",40.45,40.3089057507987,22,41,41,41,41
"333",40.53,40.3916932907348,27,41,41,41,41
"334",40.7,40.3528354632588,27,41,41,41,41
"335",40.47,40.3799121405751,27,41,41,41,41
"336",40.46,40.3990015974441,27,41,41,41,41
"337",40.62,40.4053363157054,27,41,41,41,41
"338",40.22,40.4327368589231,27,41,41,41,41
"339",40.7,40.389696485623,27,41,41,41,41
"340",40.36,40.2516775842786,22,41,41,41,41
"341",40.62,40.3059504792332,27,41,41,41,41
"342",40.49,40.3015575079872,22,41,41,41,41
"343",40.62,40.3447284345048,27,41,41,41,41
"344",38.69,40.2842651757189,22,41,41,41,41
"345",40.7,40.2977635782748,22,41,41,41,41
"346",38.42,40.2476837060703,22,41,41,41,41
